node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,leaf
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,shau1239,biha1245,unun9885,kusw1234,,,,,,,,,,,,,dara1250
nimb1257,,,,,,,,,,,,,,,,,,,,,,,nucl1633
sino1245,sini1245,clas1255,midd1354,nort3155,mand1471,,,,,,,,,,,,,,,,,,tang1373
guai1249,guai1250,qomm1235,pila1244,,,,,,,,,,,,,,,,,,,,pila1245
aust1307,mala1545,bima1248,flor1239,lama1293,nort3216,,,,,,,,,,,,,,,,,,adon1237
heib1242,west2502,cent2049,eban1241,,,,,,,,,,,,,,,,,,,,otor1240
sino1245,kuki1245,kuki1246,oldk1252,kolh1241,tara1327,,,,,,,,,,,,,,,,,,chot1239
atla1278,volt1241,nort3149,gura1261,cent2243,sout3164,grus1239,east2740,west2837,sisa1247,sisa1248,,,,,,,,,,,,,paas1238
toto1251,toto1252,cent1397,lowl1271,,,,,,,,,,,,,,,,,,,,papa1238
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,corr1234,mboz1235,nyik1250,,,,,,,,,,,,,,lamb1272
aust1307,mala1545,grea1284,cent2246,bisa1268,cent2263,peri1261,masb1239,,,,,,,,,,,,,,,,masb1238
afro1255,semi1276,east2678,,,,,,,,,,,,,,,,,,,,,akka1240
aust1307,mala1545,bima1248,flor1240,sumb1242,hawu1234,,,,,,,,,,,,,,,,,,dhao1237
atla1278,volt1241,benu1247,delt1251,uppe1418,cent2027,east2400,loko1252,,,,,,,,,,,,,,,,loka1252
aust1305,khas1273,khas1268,khas1274,khas1275,,,,,,,,,,,,,,,,,,,khas1269
siou1252,core1249,miss1254,winn1245,,,,,,,,,,,,,,,,,,,,hoch1243
ural1272,perm1256,komi1267,,,,,,,,,,,,,,,,,,,,,komi1269
indo1319,clas1257,arme1241,east2768,,,,,,,,,,,,,,,,,,,,nucl1235
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,ambr1240,,,,,,,,,,,,,,,,,nort2839
nucl1709,fini1244,fini1245,uruw1240,,,,,,,,,,,,,,,,,,,,yaum1237
cari1283,yawa1262,,,,,,,,,,,,,,,,,,,,,,waim1253
chib1249,core1252,isth1243,east2569,kuna1280,,,,,,,,,,,,,,,,,,,bord1248
nakh1245,dagh1238,darg1242,,,,,,,,,,,,,,,,,,,,,kuba1248
afro1255,semi1276,west2786,cent2236,nort3165,cana1267,hebr1246,,,,,,,,,,,,,,,,,anci1244
cent2225,sara1341,sbbo1237,nucl1719,ferg1237,gula1266,gula1267,,,,,,,,,,,,,,,,,koto1271
aust1305,bahn1264,west2399,sout2690,mnon1258,stie1250,,,,,,,,,,,,,,,,,,bulo1242
aust1307,mala1545,nort3253,saba1285,sout3154,grea1294,muru1275,nort3186,suma1273,tidu1238,tidu1239,,,,,,,,,,,,,sout3241
nilo1247,west2493,lwoo1234,nort2814,,,,,,,,,,,,,,,,,,,,shil1265
nucl1708,wape1249,cent2407,wape1250,auol1234,,,,,,,,,,,,,,,,,,,auuu1241
utoa1244,sout3136,cora1261,azte1234,west2809,west2814,west2825,dura1246,,,,,,,,,,,,,,,,west2778
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1323,oriy1254,macr1269,,,,,,,,,,,,,,,oriy1255
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,sout3188,seke1242,,,,,,,,,,,,,,,,seke1241
song1307,nort2822,nort2823,,,,,,,,,,,,,,,,,,,,,tagd1238
tupi1275,mawe1252,awet1245,tupi1276,tupi1279,,,,,,,,,,,,,,,,,,,tapi1254
lowe1437,ramu1234,,,,,,,,,,,,,,,,,,,,,,raoo1244
nort2923,,,,,,,,,,,,,,,,,,,,,,,west2600
atla1278,volt1241,benu1247,bant1294,sout3152,wide1239,narr1282,mbam1249,sout3350,mbam1253,,,,,,,,,,,,,,bamu1253
sino1245,burm1265,naqi1236,qian1263,qian1264,upst1234,,,,,,,,,,,,,,,,,,nort2722
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,torr1262,,,,,,,,,,,,,,,,,vure1239
aust1307,mala1545,mala1536,nort3170,mala1538,nucl1806,nort3388,,,,,,,,,,,,,,,,,jamb1236
pama1250,pama1251,alay1234,thay1250,,,,,,,,,,,,,,,,,,,,aghu1254
eski1264,eski1265,yupi1267,,,,,,,,,,,,,,,,,,,,,nauk1242
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,nort3209,coas1317,saba1282,,,,,,,,,,,,,mwan1247
song1307,east2431,,,,,,,,,,,,,,,,,,,,,,koyr1242
afro1255,berb1260,tuar1240,sout3263,,,,,,,,,,,,,,,,,,,,taya1257
sout2948,nasi1247,nasi1248,sout3363,sout3364,,,,,,,,,,,,,,,,,,,koro1313
sino1245,hima1249,maha1306,kira1253,east2719,grea1285,,,,,,,,,,,,,,,,,,yakk1236
sino1245,macr1275,baic1239,sout3254,,,,,,,,,,,,,,,,,,,,sout2730
chum1262,sout3132,cent2139,,,,,,,,,,,,,,,,,,,,,ines1240
atha1245,atha1246,atha1247,nort3354,,,,,,,,,,,,,,,,,,,,chip1261
sino1245,hima1249,maha1306,kham1285,chep1244,,,,,,,,,,,,,,,,,,,chep1245
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,will1243,bola1253,,,,,,,,,,,,,,,,bola1250
aust1305,khmu1236,khmu1255,,,,,,,,,,,,,,,,,,,,,khmu1256
sino1245,kuki1245,kuki1246,oldk1252,cent2411,,,,,,,,,,,,,,,,,,,puru1266
afro1255,cush1243,east2699,high1285,sida1247,hadi1241,hadi1242,,,,,,,,,,,,,,,,,hadi1240
atla1278,volt1241,benu1247,akpe1249,edoi1239,delt1252,dege1249,,,,,,,,,,,,,,,,,dege1246
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,nger1241,nger1240,east2772,kali1298,,,,,,,,,,,,,,lusi1240
aust1307,mala1545,grea1284,cent2246,bisa1268,cent2263,,,,,,,,,,,,,,,,,,romb1245
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,bant1295,lund1274,leko1248,ngoe1239,mane1268,cent2284,,,,,,,,,,,,akoo1248
pama1250,pama1251,comp1236,wika1239,kuku1276,kuku1277,pama1253,,,,,,,,,,,,,,,,,kuku1280
japo1237,ryuk1243,nort3255,amam1245,nucl1644,okin1245,,,,,,,,,,,,,,,,,,okin1246
nyul1248,west2872,bard1254,,,,,,,,,,,,,,,,,,,,,bard1255
pama1250,sout3134,pilb1234,ngay1241,cent2248,yind1249,,,,,,,,,,,,,,,,,,kurr1243
cent2225,sara1341,sbbo1237,nucl1719,sara1349,cent2044,sara1346,sido1234,,,,,,,,,,,,,,,,mbay1241
aust1307,mala1545,cele1242,grea1299,east2488,sout2928,bung1268,east2489,,,,,,,,,,,,,,,,moro1287
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,maku1247,chuw1239,,,,,,,,,,,,,,,chuw1238
cent2225,lend1246,,,,,,,,,,,,,,,,,,,,,,ngit1239
,,,,,,,,,,,,,,,,,,,,,,,guri1248
aust1307,mala1545,cent2080,,,,,,,,,,,,,,,,,,,,,remo1247
