node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,leaf
araw1281,sout3131,puru1269,puru1265,inap1242,,,,,,,,,,,,,,,,,,,inap1243
nucl1709,fini1244,huon1246,west2795,crom1234,timb1264,sele1251,,,,,,,,,,,,,,,,,sele1250
tuca1253,east2698,west2789,sout3006,,,,,,,,,,,,,,,,,,,,macu1260
atla1278,nort3146,cent2230,bakk1238,jool1234,jola1264,bayo1262,,,,,,,,,,,,,,,,,bayo1255
skoo1245,skou1238,skou1239,east2892,west2992,,,,,,,,,,,,,,,,,,,wutu1244
taul1250,,,,,,,,,,,,,,,,,,,,,,,taul1251
aust1307,mala1545,mala1536,nort3170,mala1538,nucl1806,east2755,banj1240,bera1266,brun1252,,,,,,,,,,,,,,saba1263
pama1250,grea1282,guwa1245,mari1445,sout2765,marg1252,,,,,,,,,,,,,,,,,,guny1241
anga1289,,,,,,,,,,,,,,,,,,,,,,,anga1290
pama1250,sout3135,news1235,muru1265,,,,,,,,,,,,,,,,,,,,muru1266
sino1245,hima1249,maha1306,kira1253,cent2250,sout2736,,,,,,,,,,,,,,,,,,caml1239
atla1278,mela1257,bull1245,bull1246,nort3167,,,,,,,,,,,,,,,,,,,bull1247
bosa1245,bosa1246,kalu1249,,,,,,,,,,,,,,,,,,,,,kalu1248
indo1319,clas1257,indo1320,iran1269,cent2317,sogd1247,osse1245,osse1243,,,,,,,,,,,,,,,,iron1242
sino1245,burm1265,lolo1265,lolo1267,nili1235,sout3212,sani1266,sani1267,sani1275,,,,,,,,,,,,,,,axiy1235
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,nucl1826,dims1234,soth1248,west2997,cent2406,seso1234,,,,,,,,,,lozi1239
sino1245,kuki1245,anga1312,aoic1235,yimc1239,,,,,,,,,,,,,,,,,,,para1302
nyul1248,east2381,nyik1244,,,,,,,,,,,,,,,,,,,,,nyig1240
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,bant1295,maka1327,maka1323,west2967,maka1324,nort3375,,,,,,,,,,,,maka1304
nyul1248,west2872,nyul1250,,,,,,,,,,,,,,,,,,,,,nyul1247
afro1255,berb1260,tuar1240,,,,,,,,,,,,,,,,,,,,,taha1241
sign1238,deaf1237,swed1257,finn1319,,,,,,,,,,,,,,,,,,,,finn1310
indo1319,clas1257,indo1320,iran1269,cent2317,cent2318,nort3177,tati1243,gora1267,gura1251,nucl1271,,,,,,,,,,,,,gawh1238
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,nucl1826,dims1234,ngun1280,ngun1276,nucl1827,ngun1267,swat1244,,,,,,,,,nort2795
mand1469,east2697,bisa1265,,,,,,,,,,,,,,,,,,,,,biss1248
araw1281,sout3131,kamp1244,prea1240,asha1244,mats1245,,,,,,,,,,,,,,,,,,nant1250
sali1255,coas1325,cent2129,,,,,,,,,,,,,,,,,,,,,como1259
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,mala1539,west2871,peri1262,nort3261,,,,,,,,,,,,,,bign1238
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,corr1234,nyak1264,,,,,,,,,,,,,,,nyak1260
atla1278,volt1241,nort3149,gura1261,cent2243,nort2777,,,,,,,,,,,,,,,,,,koro1298
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,shau1239,indo1322,roma1329,,,,,,,,,,,,,,balt1257
atla1278,volt1241,nort3149,came1255,samb1322,samb1323,sout3238,,,,,,,,,,,,,,,,,peer1241
otom1299,east2557,amuz1253,mixt1422,mixt1423,mixt1427,coas1316,west2832,,,,,,,,,,,,,,,,sant1436
tura1263,,,,,,,,,,,,,,,,,,,,,,,rumu1243
aust1307,mala1545,java1253,mode1251,,,,,,,,,,,,,,,,,,,,java1254
,,,,,,,,,,,,,,,,,,,,,,,sand1273
indo1319,clas1257,balt1263,slav1255,east1426,,,,,,,,,,,,,,,,,,,russ1263
mong1349,mong1329,sout2705,shir1260,tuuu1240,,,,,,,,,,,,,,,,,,,minh1238
afro1255,semi1276,west2786,ethi1244,sout3078,amha1244,,,,,,,,,,,,,,,,,,amha1245
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,shau1239,biha1245,mait1254,,,,,,,,,,,,,,maga1260
anga1289,nucl1763,sout3130,tain1255,,,,,,,,,,,,,,,,,,,,tain1253
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,mala1539,east2753,cent2315,unua1238,,,,,,,,,,,,,,unua1237
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,tung1294,,,,,,,,,,,,,,,,nali1244
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,grea1289,west2842,konz1238,,,,,,,,,,,,,konz1239
utoa1244,nort2953,numi1242,cent2130,,,,,,,,,,,,,,,,,,,,coma1245
atla1278,volt1241,benu1247,,,,,,,,,,,,,,,,,,,,,okoe1238
aust1307,mala1545,nort2829,nucl1463,ment1248,nias1241,nias1242,,,,,,,,,,,,,,,,,batu1257
aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,vanu1245,,,,,,,,,,,,,,,west2516
araw1281,japu1236,nucl1764,nort3362,bani1258,bani1259,,,,,,,,,,,,,,,,,,curr1243
ural1272,finn1317,coas1319,neva1234,nort3282,lado1234,east2796,,,,,,,,,,,,,,,,,veps1250
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,nort3376,rive1266,ngir1248,ngir1252,ngir1253,loba1240,,,,,,,,,,,loba1239
sino1245,bodi1256,bodi1257,oldm1245,tibe1276,late1253,sout3217,,,,,,,,,,,,,,,,,brok1248
atha1245,atha1246,atha1247,apac1239,sout3151,west2810,,,,,,,,,,,,,,,,,,nava1243
nucl1709,kain1273,goro1272,nucl1760,nucl1756,,,,,,,,,,,,,,,,,,,bena1264
afro1255,semi1276,west2786,cent2236,arab1394,arab1395,arab1393,nort3402,,,,,,,,,,,,,,,,gulf1241
aust1307,mala1545,grea1284,dana1253,,,,,,,,,,,,,,,,,,,,magu1243
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,nger1241,viti1243,belr1234,bell1262,nucl1510,,,,,,,,,,,,,geda1237
sino1245,kuki1245,kuki1246,oldk1252,kolh1241,,,,,,,,,,,,,,,,,,,khar1288
aust1307,mala1545,nort2829,toba1265,sout3166,sout2849,,,,,,,,,,,,,,,,,,bata1289
sout2772,,,,,,,,,,,,,,,,,,,,,,,murr1258
afro1255,cush1243,east2699,high1285,sida1247,hadi1241,kamb1318,,,,,,,,,,,,,,,,,kamb1316
aust1307,mala1545,mala1536,nort3170,mala1538,nucl1806,vehi1234,,,,,,,,,,,,,,,,,baba1267
afro1255,cush1243,east2699,lowl1267,sout3055,main1283,omot1245,west2723,,,,,,,,,,,,,,,,elmo1238
aust1307,mala1545,nort3253,saba1285,sout3154,grea1294,muru1275,nort3186,suma1273,taga1273,,,,,,,,,,,,,,rund1243
siou1252,core1249,miss1254,dheg1241,,,,,,,,,,,,,,,,,,,,omah1247
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,taba1270,,,,,,,,,,,,,,,,mand1440
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,espi1234,nucl1793,east2754,mafe1238,,,,,,,,,,,,,,tutu1241
musk1252,west2614,,,,,,,,,,,,,,,,,,,,,,chic1270
atla1278,volt1241,nort3149,came1255,uban1244,ngba1290,ngba1280,nucl1737,,,,,,,,,,,,,,,,nort2774
aust1307,mala1545,basa1291,grea1283,sama1302,sulu1242,born1254,,,,,,,,,,,,,,,,,indo1317
pama1250,yimi1234,yala1261,,,,,,,,,,,,,,,,,,,,,kuku1273
sino1245,bodi1256,bodi1257,oldm1245,tibe1276,late1253,cent2346,sout3216,,,,,,,,,,,,,,,,lhom1239
pano1259,pano1256,mayo1277,mayo1269,mats1243,,,,,,,,,,,,,,,,,,,mats1244
aust1307,mala1545,cele1242,grea1299,tomi1242,sout2925,,,,,,,,,,,,,,,,,,taji1246
sino1245,hima1249,maha1306,kira1253,west2424,uppe1413,,,,,,,,,,,,,,,,,,dumi1241
aust1307,mala1545,timo1265,east2894,kawa1289,,,,,,,,,,,,,,,,,,,waim1252
sino1245,burm1265,lolo1265,lolo1267,nili1235,liso1234,nucl1734,lisu1252,lisu1250,,,,,,,,,,,,,,,hual1240
aust1305,viet1250,viet1251,,,,,,,,,,,,,,,,,,,,,viet1252
atla1278,volt1241,benu1247,defo1239,,,,,,,,,,,,,,,,,,,,arig1246
huit1251,nucl1659,mini1255,,,,,,,,,,,,,,,,,,,,,mini1256
atla1278,volt1241,nort3149,buak1234,kimb1240,,,,,,,,,,,,,,,,,,,kimm1246
sino1245,brah1260,bodo1279,,,,,,,,,,,,,,,,,,,,,garo1247
nakh1245,dagh1238,avar1255,tsez1239,west2429,,,,,,,,,,,,,,,,,,,hinu1240
aust1307,mala1545,east2712,ocea1241,admi1239,east2459,manu1262,moko1244,,,,,,,,,,,,,,,,loni1238
nucl1709,mada1298,raic1241,evap1240,kesa1245,,,,,,,,,,,,,,,,,,,kesa1244
aust1307,mala1545,mala1536,nort3170,cham1327,cham1330,coas1305,cham1328,,,,,,,,,,,,,,,,east2563
aust1305,khas1273,pala1352,,,,,,,,,,,,,,,,,,,,,dana1252
cahu1265,,,,,,,,,,,,,,,,,,,,,,,jebe1250
cadd1255,nort2950,pawn1252,pawn1253,,,,,,,,,,,,,,,,,,,,pawn1254
aust1307,east2493,nort2900,,,,,,,,,,,,,,,,,,,,,basa1287
atla1278,volt1241,nort3149,came1255,samb1322,samb1323,sout3238,leko1246,,,,,,,,,,,,,,,,kolb1240
sino1245,hima1249,maha1306,kham1285,,,,,,,,,,,,,,,,,,,,dura1244
nucl1709,mada1298,croi1234,grea1298,nort3379,kumi1250,tibo1244,tibo1243,,,,,,,,,,,,,,,,pamo1253
sepi1257,,,,,,,,,,,,,,,,,,,,,,,abau1245
lowe1437,ramu1234,goam1234,tamo1242,brer1241,,,,,,,,,,,,,,,,,,,brer1240
chib1249,core1252,isth1243,east2569,guay1266,,,,,,,,,,,,,,,,,,,ngab1239
drav1251,sout3133,sout3139,kond1294,mand1411,kuik1244,,,,,,,,,,,,,,,,,,kuii1252
zamu1243,,,,,,,,,,,,,,,,,,,,,,,cham1315
aust1307,mala1545,grea1284,mano1276,cent2255,east2778,west2829,,,,,,,,,,,,,,,,,obom1235
katl1246,,,,,,,,,,,,,,,,,,,,,,,tima1241
choc1280,embe1258,sanj1278,uppe1440,,,,,,,,,,,,,,,,,,,,embe1262
sino1245,burm1265,lolo1265,lolo1267,nili1235,sout3212,niso1234,nucl1739,nasu1236,nesu1234,nasu1237,,,,,,,,,,,,,wudi1238
nilo1247,west2493,lwoo1234,sout2831,acol1236,,,,,,,,,,,,,,,,,,,labw1238
ural1272,mari1278,east2328,,,,,,,,,,,,,,,,,,,,,gras1239
atla1278,volt1241,nort3149,gura1261,,,,,,,,,,,,,,,,,,,,viem1243
worr1236,ngar1284,,,,,,,,,,,,,,,,,,,,,,munu1238
timo1261,alor1249,nucl1821,west2994,,,,,,,,,,,,,,,,,,,,kelo1247
aust1307,mala1545,east2712,ocea1241,micr1243,cent2276,west2844,pona1247,truk1243,nucl1749,,,,,,,,,,,,,,wole1240
mixe1284,mixe1286,,,,,,,,,,,,,,,,,,,,,,olut1240
sino1245,kuki1245,kuki1246,cent2330,cent2005,mizo1244,,,,,,,,,,,,,,,,,,lush1249
siou1252,core1249,miss1254,dako1257,,,,,,,,,,,,,,,,,,,,assi1247
sino1245,hima1249,maha1306,kira1253,cent2250,kham1300,kulu1252,,,,,,,,,,,,,,,,,kulu1253
pama1250,dese1234,wati1241,pint1254,nucl1724,,,,,,,,,,,,,,,,,,,pint1250
otom1299,east2557,popo1292,zapo1436,chat1268,core1263,coas1314,,,,,,,,,,,,,,,,,tata1258
aust1307,mala1545,east2712,ocea1241,west2818,papu1253,nucl1744,suau1243,,,,,,,,,,,,,,,,buhu1237
sino1245,burm1265,naqi1236,qian1263,rgya1241,core1262,,,,,,,,,,,,,,,,,,situ1238
sout2948,buin1247,,,,,,,,,,,,,,,,,,,,,,siwa1245
pomo1273,russ1265,,,,,,,,,,,,,,,,,,,,,,east2545
sino1245,miji1239,,,,,,,,,,,,,,,,,,,,,,bang1369
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,mbam1254,mbam1252,nucl1802,sana1299,west2826,mand1474,,,,,,,,,,,,tune1261
aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,east2758,,,,,,,,,,,,,,,niua1240
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,mbam1254,mbam1252,nucl1802,sana1299,west2826,mand1474,,,,,,,,,,,,noma1260
drav1251,nort2698,kuru1300,kuru1301,,,,,,,,,,,,,,,,,,,,kuru1302
afro1255,berb1260,kaby1244,,,,,,,,,,,,,,,,,,,,,kaby1243
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,torr1262,,,,,,,,,,,,,,,,,motl1237
aust1307,mala1545,mala1536,nort3170,mala1538,nucl1806,stan1327,,,,,,,,,,,,,,,,,indo1316
sino1245,raji1239,,,,,,,,,,,,,,,,,,,,,,raji1240
utoa1244,nort2953,numi1242,sout2968,utes1238,,,,,,,,,,,,,,,,,,,chem1251
iroq1247,nort2947,,,,,,,,,,,,,,,,,,,,,,sene1264
aust1307,mala1545,east2712,ocea1241,micr1243,cent2276,,,,,,,,,,,,,,,,,,gilb1244
aust1307,mala1545,timo1265,sout3382,,,,,,,,,,,,,,,,,,,,maku1277
atla1278,volt1241,benu1247,juku1257,,,,,,,,,,,,,,,,,,,,kute1248
nucl1709,cent2116,awyu1265,grea1275,beck1235,,,,,,,,,,,,,,,,,,,koro1312
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,cent2274,kamb1323,,,,,,,,,,,,,,kamb1297
aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,nort3246,solo1260,cent2298,east2449,east2896,sout3383,,,,,,,,,,raro1241
nort2933,,,,,,,,,,,,,,,,,,,,,,,rapo1238
afro1255,chad1250,bium1280,nort3156,koto1267,,,,,,,,,,,,,,,,,,,budu1265
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,epie1239,epii1237,lame1259,,,,,,,,,,,,,,,lame1260
sino1245,burm1265,naqi1236,qian1263,qian1264,sout2728,inwa1234,,,,,,,,,,,,,,,,,long1374
sino1245,brah1260,bodo1279,boro1284,tiwa1256,,,,,,,,,,,,,,,,,,,tiwa1253
tuca1253,east2698,east2702,east2707,,,,,,,,,,,,,,,,,,,,tuca1252
aust1307,mala1545,east2712,ocea1241,micr1243,cent2276,west2844,pona1247,truk1243,nucl1749,cent2290,east2764,pulu1244,,,,,,,,,,,pulu1242
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,torr1262,,,,,,,,,,,,,,,,,motl1237
sino1245,brah1260,bodo1279,koch1249,,,,,,,,,,,,,,,,,,,,rabh1238
tebe1251,,,,,,,,,,,,,,,,,,,,,,,dadi1250
ural1272,finn1317,coas1319,neva1234,nort3282,lado1234,east2796,,,,,,,,,,,,,,,,,veps1250
musk1252,west2614,,,,,,,,,,,,,,,,,,,,,,choc1276
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,grea1289,west2841,nort3220,soga1244,,,,,,,,,,,,soga1242
gong1255,gong1256,,,,,,,,,,,,,,,,,,,,,,anfi1235
japo1237,ryuk1243,ryuk1244,macr1267,,,,,,,,,,,,,,,,,,,,yona1241
aust1307,mala1545,mala1536,nort3170,bali1277,sasa1248,,,,,,,,,,,,,,,,,,sasa1249
algi1248,algo1256,algo1257,cree1271,cree1272,,,,,,,,,,,,,,,,,,,swam1239
,,,,,,,,,,,,,,,,,,,,,,,lavu1241
sino1245,burm1265,lolo1265,lolo1267,hani1249,biso1244,hani1250,bika1252,,,,,,,,,,,,,,,,mpii1239
surm1244,sout2836,sout2837,,,,,,,,,,,,,,,,,,,,,kweg1241
araw1281,cent2226,pare1273,,,,,,,,,,,,,,,,,,,,,sara1331
nakh1245,dagh1238,lezg1248,nucl1321,east2790,udia1235,,,,,,,,,,,,,,,,,,aghw1237
sino1245,bodi1256,bodi1257,oldm1245,tibe1276,late1253,east2771,,,,,,,,,,,,,,,,,baim1244
aust1307,mala1545,nort3238,meso1254,sout3211,cent2296,kali1310,kali1311,cent2282,,,,,,,,,,,,,,,lubu1243
drav1251,sout3133,sout3138,tami1291,tami1292,tami1293,tami1294,irul1245,irul1243,,,,,,,,,,,,,,,irul1244
tupi1275,mawe1252,awet1245,tupi1276,tupi1279,tupi1284,,,,,,,,,,,,,,,,,,suru1261
cari1283,kuik1245,nucl1656,,,,,,,,,,,,,,,,,,,,,kuik1246
taik1256,kamt1241,kams1241,then1235,maon1239,maka1300,,,,,,,,,,,,,,,,,,makc1235
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1324,sind1278,lahn1241,east2727,,,,,,,,,,,,,,panj1256
algi1248,algo1256,algo1257,east2765,ojib1240,ojib1241,seve1242,,,,,,,,,,,,,,,,,seve1240
sino1245,burm1265,naqi1236,qian1263,pumi1242,,,,,,,,,,,,,,,,,,,sout2729
atla1278,nort3146,cent2230,bijo1239,,,,,,,,,,,,,,,,,,,,bidy1244
aust1307,mala1545,mina1272,nort2886,nort2887,,,,,,,,,,,,,,,,,,,tond1251
aust1307,nort2899,,,,,,,,,,,,,,,,,,,,,,kulo1237
kres1240,,,,,,,,,,,,,,,,,,,,,,,ajas1235
tung1282,nort3147,even1260,midd1358,,,,,,,,,,,,,,,,,,,,moma1245
utoa1244,nort2953,numi1242,west2621,,,,,,,,,,,,,,,,,,,,mono1275
gunw1250,gunw1253,east2701,,,,,,,,,,,,,,,,,,,,,ngan1295
aust1307,mala1545,east2712,ocea1241,micr1243,cent2276,west2844,pona1247,pona1248,,,,,,,,,,,,,,,moki1238
aust1305,nico1262,,,,,,,,,,,,,,,,,,,,,,carn1240
cent2225,sara1341,sbbo1237,nucl1719,ferg1237,gula1266,gula1267,,,,,,,,,,,,,,,,,zura1238
otom1299,east2557,amuz1253,mixt1422,mixt1423,mixt1427,guer1245,,,,,,,,,,,,,,,,,alac1244
sino1245,kuki1245,kuki1246,peri1260,sout3160,asho1237,,,,,,,,,,,,,,,,,,asho1236
atla1278,volt1241,benu1247,bant1294,sout3152,wide1239,narr1282,mbam1249,sout3350,mbam1253,,,,,,,,,,,,,,baba1264
aust1307,mala1545,east2712,ocea1241,temo1244,utup1237,,,,,,,,,,,,,,,,,,vano1237
atha1245,atha1246,,,,,,,,,,,,,,,,,,,,,,eyak1241
mand1469,east2697,bisa1265,samo1302,mand1437,,,,,,,,,,,,,,,,,,,sout2844
afro1255,berb1260,tuar1240,sout3263,,,,,,,,,,,,,,,,,,,,tama1365
momb1255,,,,,,,,,,,,,,,,,,,,,,,nucl1452
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,bali1280,,,,,,,,,,,,,,,,,unea1237
aust1307,mala1545,east2712,ocea1241,yape1250,,,,,,,,,,,,,,,,,,,ngul1236
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,west2968,nzad1235,lwer1234,ding1244,loan1238,klce1234,kiko1235,nucl1804,kiko1234,kamb1321,kila1239,sout3249,sout3353,sout3354,koon1247,,koon1244
ural1272,samo1298,kama1376,selk1253,kety1234,,,,,,,,,,,,,,,,,,,sout3262
utoa1244,sout3136,cora1261,azte1234,east2720,huas1257,,,,,,,,,,,,,,,,,,west2624
nivk1234,,,,,,,,,,,,,,,,,,,,,,,gily1242
maya1287,core1254,quic1274,grea1276,core1251,cakc1244,kaqc1280,,,,,,,,,,,,,,,,,kaqc1270
tung1282,east2366,cent2235,,,,,,,,,,,,,,,,,,,,,kile1243
otom1299,west2783,otop1241,otop1242,otom1297,sout3168,,,,,,,,,,,,,,,,,,temo1245
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,nort3376,rive1266,ngir1248,,,,,,,,,,,,,,luse1252
sino1245,kuki1245,anga1312,aoic1235,,,,,,,,,,,,,,,,,,,,loth1237
iroq1247,nort2947,,,,,,,,,,,,,,,,,,,,,,onon1246
drav1251,sout3133,sout3138,tami1291,tami1292,tami1293,tami1294,tami1297,tami1298,mala1541,,,,,,,,,,,,,,mala1464
atla1278,volt1241,nort3149,senu1239,nort3254,supy1238,,,,,,,,,,,,,,,,,,sici1249
indo1319,clas1257,indo1320,iran1269,cent2317,cent2318,,,,,,,,,,,,,,,,,,bact1239
araw1281,alto1249,maip1247,,,,,,,,,,,,,,,,,,,,,maip1246
nakh1245,dagh1238,darg1242,sout3260,sout3261,,,,,,,,,,,,,,,,,,,sirz1237
pama1250,sout3134,pilb1234,mant1266,wari1270,,,,,,,,,,,,,,,,,,,dhar1247
kxaa1236,juku1256,,,,,,,,,,,,,,,,,,,,,,juho1239
taik1256,kamt1241,daic1238,daic1237,nort3326,nort3180,nort3189,,,,,,,,,,,,,,,,,cent2009
taik1256,kamt1241,daic1238,daic1237,nort3326,nort3180,yong1274,,,,,,,,,,,,,,,,,yong1276
sino1245,khob1235,,,,,,,,,,,,,,,,,,,,,,bugu1246
indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,nort3208,gall1280,,,,,,,,,,,,ladi1250
aust1307,mala1545,basa1291,grea1283,sama1302,sulu1242,inne1244,,,,,,,,,,,,,,,,,sout2918
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,stge1234,nort3225,mono1280,,,,,,,,,,,,,,mono1273
ainu1252,hokk1250,,,,,,,,,,,,,,,,,,,,,,ainu1240
atla1278,volt1241,benu1247,defo1239,yoru1244,edek1238,edea1234,east2738,sout3186,nucl1747,lucu1239,,,,,,,,,,,,,yoru1245
pama1250,sout3134,kart1249,,,,,,,,,,,,,,,,,,,,,nhan1238
aust1307,mala1545,java1253,mode1251,java1254,west2565,,,,,,,,,,,,,,,,,,cire1240
hara1260,,,,,,,,,,,,,,,,,,,,,,,amar1274
narr1279,bura1298,ache1247,,,,,,,,,,,,,,,,,,,,,ache1245
pama1250,sout3135,news1235,band1357,band1339,inla1268,,,,,,,,,,,,,,,,,,midd1357
aust1307,mala1545,timo1265,sout3382,sout2890,,,,,,,,,,,,,,,,,,,sela1259
sino1245,sini1245,clas1255,midd1354,yuep1234,,,,,,,,,,,,,,,,,,,yuec1235
,,,,,,,,,,,,,,,,,,,,,,,taia1239
aust1307,mala1545,bima1248,flor1240,sumb1242,sumb1243,wewe1239,,,,,,,,,,,,,,,,,lamb1273
afro1255,cush1243,east2699,lowl1267,sout3055,main1283,omot1245,east2653,,,,,,,,,,,,,,,,soma1255
mand1469,west2780,mand1431,cent2047,mand1432,mand1433,mand1434,mand1435,east2425,,,,,,,,,,,,,,,bamb1269
atla1278,,,,,,,,,,,,,,,,,,,,,,,gola1255
sino1245,bodi1256,kaik1248,ghal1247,ghal1246,nucl1818,,,,,,,,,,,,,,,,,,sout2715
taik1256,kamt1241,kams1241,mula1252,,,,,,,,,,,,,,,,,,,,mula1253
nucl1710,jabu1249,,,,,,,,,,,,,,,,,,,,,,arik1265
taul1250,,,,,,,,,,,,,,,,,,,,,,,buta1242
lowe1437,ramu1234,goam1234,tamo1242,,,,,,,,,,,,,,,,,,,,akru1241
sino1245,bodi1256,bodi1257,oldm1245,tibe1276,late1253,cent2346,sout3216,kyir1235,yolm1234,hela1238,,,,,,,,,,,,,east2343
nucl1709,pani1259,meew1234,,,,,,,,,,,,,,,,,,,,,ekar1243
sino1245,kuki1245,anga1312,aoic1235,,,,,,,,,,,,,,,,,,,,aona1235
indo1319,clas1257,indo1320,iran1269,pash1269,nucl1276,,,,,,,,,,,,,,,,,,sout2649
,,,,,,,,,,,,,,,,,,,,,,,burm1264
aust1305,khas1273,khas1268,khas1274,khas1275,,,,,,,,,,,,,,,,,,,pnar1238
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,west2968,nzad1235,lwer1234,ding1244,loan1238,klce1234,kiko1235,nucl1804,kiko1234,kamb1321,kila1239,sout3249,sout3353,,,,east2782
aust1307,mala1545,cele1242,grea1299,east2488,salu1251,west2571,salu1252,,,,,,,,,,,,,,,,bobo1255
japo1237,ryuk1243,ryuk1244,macr1267,,,,,,,,,,,,,,,,,,,,yaey1239
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,stge1234,nort3225,west2523,,,,,,,,,,,,,,zaba1237
atla1278,volt1241,kwav1236,nato1234,lele1262,likp1239,,,,,,,,,,,,,,,,,,sele1249
sepi1257,nuku1256,,,,,,,,,,,,,,,,,,,,,,kwom1262
tsim1258,nish1242,,,,,,,,,,,,,,,,,,,,,,gitx1241
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,west2968,nzad1235,lwer1234,ding1244,loan1238,klce1234,kiko1235,nucl1804,yaka1278,,,,,,,,suku1259
maya1287,core1254,quic1274,grea1277,mame1240,,,,,,,,,,,,,,,,,,,mamm1241
aust1307,mala1545,mala1536,nort3170,mala1538,nucl1806,vehi1234,east2743,mana1300,,,,,,,,,,,,,,,mala1481
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,espi1234,west2956,,,,,,,,,,,,,,,,tolo1255
atla1278,volt1241,nort3149,came1255,uban1244,band1341,nucl1797,,,,,,,,,,,,,,,,,mban1263
afro1255,chad1250,west2785,west2714,west2799,west2715,tang1366,tang1367,,,,,,,,,,,,,,,,pero1241
utoa1244,nort2953,cali1246,cupa1239,cahu1263,,,,,,,,,,,,,,,,,,,cahu1264
daga1274,,,,,,,,,,,,,,,,,,,,,,,uman1240
indo1319,clas1257,celt1248,nucl1715,tgbc1234,insu1254,goid1240,mode1265,east2734,,,,,,,,,,,,,,,scot1245
pama1250,sout3134,pilb1234,ngay1241,cent2248,,,,,,,,,,,,,,,,,,,mart1255
,,,,,,,,,,,,,,,,,,,,,,,anem1249
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,huon1245,mark1257,lowe1411,,,,,,,,,,,,,,,labu1248
gong1255,omet1238,nort3161,cent2046,,,,,,,,,,,,,,,,,,,,wola1242
maya1287,core1254,west2865,chol1286,chol1287,chor1272,,,,,,,,,,,,,,,,,,chor1273
gong1255,omet1238,nort3161,,,,,,,,,,,,,,,,,,,,,male1284
aust1307,mala1545,east2712,ocea1241,sout2853,mala1485,,,,,,,,,,,,,,,,,,long1395
indo1319,clas1257,indo1320,indo1321,midd1375,dard1244,hima1250,kang1292,indo1311,,,,,,,,,,,,,,,kang1280
aust1307,mala1545,grea1284,cent2246,taga1280,taga1269,,,,,,,,,,,,,,,,,,fili1244
aust1307,mala1545,east2712,ocea1241,west2818,papu1253,nucl1744,nort2848,aret1241,taup1241,nucl1794,,,,,,,,,,,,,tawa1275
,,,,,,,,,,,,,,,,,,,,,,,cani1243
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,pogo1242,,,,,,,,,,,,,,,,ndam1239
indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,gali1263,,,,,,,,,,,gali1258
aust1305,mund1335,nort3151,kher1245,mund1336,homu1234,,,,,,,,,,,,,,,,,,mund1320
araw1281,japu1236,nucl1764,nort3362,bani1258,,,,,,,,,,,,,,,,,,,tari1256
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,will1243,naka1266,,,,,,,,,,,,,,,,naka1262
